first_player,,,DeepMCTS,DeepMCTS,UninformedMCTS,UninformedMCTS
score_player,,,DeepMCTS,UninformedMCTS,DeepMCTS,UninformedMCTS
board_size,bmcts_sim,match,,,,
Vortex_5,250,0,1,0,1,0
Vortex_5,500,0,1,0,1,0
Vortex_5,750,0,1,0,1,0
Vortex_5,1000,0,1,0,1,0
Vortex_6,250,0,1,0,1,0
Vortex_6,500,0,1,0,1,0
Vortex_6,750,0,1,0,1,0
Vortex_6,1000,0,1,0,1,0
Vortex_7,250,0,1,0,1,0
Vortex_7,500,0,1,0,1,0
Vortex_7,750,0,1,0,1,0
Vortex_7,1000,0,1,0,1,0
Vortex_8,250,0,1,0,1,0
Vortex_8,500,0,1,0,1,0
Vortex_8,750,0,1,0,1,0
Vortex_8,1000,0,1,0,1,0
Vortex_9,250,0,1,0,1,0
Vortex_9,500,0,1,0,1,0
Vortex_9,750,0,1,0,1,0
Vortex_9,1000,0,1,0,1,0
