first_player,,curriculum,curriculum,non-pretrained,non-pretrained
score_player,,curriculum,non-pretrained,curriculum,non-pretrained
NoPT_checkpoint,match,,,,
10,0,1,0,0,1
10,1,1,0,1,0
10,2,1,0,1,0
10,3,1,0,0,1
10,4,1,0,1,0
10,5,1,0,1,0
10,6,0,1,1,0
10,7,1,0,0,1
10,8,1,0,1,0
10,9,1,0,0,1
10,10,1,0,1,0
10,11,1,0,1,0
10,12,1,0,1,0
10,13,1,0,1,0
10,14,1,0,1,0
10,15,0,1,1,0
10,16,0,1,1,0
10,17,1,0,1,0
10,18,1,0,1,0
10,19,0,1,1,0
20,0,1,0,1,0
20,1,1,0,1,0
20,2,1,0,1,0
20,3,1,0,1,0
20,4,1,0,1,0
20,5,1,0,1,0
20,6,1,0,1,0
20,7,1,0,1,0
20,8,1,0,1,0
20,9,1,0,1,0
20,10,0,1,0,1
20,11,1,0,1,0
20,12,1,0,1,0
20,13,1,0,1,0
20,14,1,0,1,0
20,15,1,0,1,0
20,16,0,1,0,1
20,17,1,0,1,0
20,18,1,0,0,1
20,19,1,0,1,0
