first_player,,,DMCTS,DMCTS,RMCTS,RMCTS
score_player,,,DMCTS,RMCTS,DMCTS,RMCTS
dmcts_sim,rmcts_sim,match,,,,
500,500,0,1,0,0,1
500,500,1,1,0,1,0
500,500,2,1,0,1,0
500,500,3,1,0,0,1
500,500,4,1,0,1,0
500,500,5,1,0,0,1
500,500,6,1,0,1,0
500,500,7,0,1,1,0
500,500,8,1,0,1,0
500,500,9,1,0,0,1
500,500,10,1,0,1,0
500,500,11,1,0,1,0
500,500,12,1,0,1,0
500,500,13,1,0,0,1
500,500,14,1,0,1,0
500,500,15,1,0,0,1
500,500,16,1,0,1,0
500,500,17,1,0,1,0
500,500,18,1,0,1,0
500,500,19,1,0,1,0
500,500,20,1,0,1,0
500,500,21,1,0,0,1
500,500,22,1,0,1,0
500,500,23,0,1,1,0
500,500,24,1,0,0,1
500,500,25,1,0,0,1
500,500,26,1,0,1,0
500,500,27,1,0,0,1
500,500,28,1,0,1,0
500,500,29,1,0,1,0
500,500,30,1,0,0,1
500,500,31,1,0,1,0
500,500,32,1,0,0,1
500,500,33,1,0,1,0
500,500,34,1,0,1,0
500,500,35,1,0,1,0
500,500,36,0,1,1,0
500,500,37,1,0,1,0
500,500,38,1,0,1,0
500,500,39,1,0,1,0
500,500,40,1,0,1,0
500,500,41,1,0,1,0
500,500,42,1,0,1,0
500,500,43,0,1,1,0
500,500,44,0,1,0,1
500,500,45,1,0,0,1
500,500,46,1,0,1,0
500,500,47,1,0,0,1
500,500,48,1,0,1,0
500,500,49,1,0,1,0
500,600,0,1,0,1,0
500,600,1,0,1,1,0
500,600,2,1,0,1,0
500,600,3,1,0,1,0
500,600,4,1,0,1,0
500,600,5,1,0,0,1
500,600,6,1,0,1,0
500,600,7,1,0,0,1
500,600,8,0,1,1,0
500,600,9,1,0,1,0
500,600,10,1,0,1,0
500,600,11,1,0,1,0
500,600,12,1,0,0,1
500,600,13,1,0,0,1
500,600,14,1,0,1,0
500,600,15,1,0,1,0
500,600,16,1,0,1,0
500,600,17,1,0,0,1
500,600,18,1,0,1,0
500,600,19,1,0,1,0
500,600,20,1,0,0,1
500,600,21,1,0,1,0
500,600,22,1,0,0,1
500,600,23,1,0,1,0
500,600,24,1,0,1,0
500,600,25,1,0,1,0
500,600,26,1,0,1,0
500,600,27,1,0,1,0
500,600,28,1,0,0,1
500,600,29,1,0,1,0
500,600,30,1,0,1,0
500,600,31,1,0,1,0
500,600,32,1,0,0,1
500,600,33,1,0,0,1
500,600,34,1,0,0,1
500,600,35,1,0,0,1
500,600,36,1,0,0,1
500,600,37,1,0,0,1
500,600,38,0,1,0,1
500,600,39,0,1,0,1
500,600,40,1,0,0,1
500,600,41,1,0,1,0
500,600,42,0,1,1,0
500,600,43,1,0,1,0
500,600,44,0,1,1,0
500,600,45,1,0,0,1
500,600,46,1,0,0,1
500,600,47,1,0,0,1
500,600,48,1,0,1,0
500,600,49,1,0,0,1
500,700,0,1,0,1,0
500,700,1,0,1,0,1
500,700,2,1,0,0,1
500,700,3,1,0,1,0
500,700,4,1,0,1,0
500,700,5,0,1,0,1
500,700,6,1,0,0,1
500,700,7,1,0,1,0
500,700,8,1,0,1,0
500,700,9,1,0,0,1
500,700,10,1,0,0,1
500,700,11,1,0,1,0
500,700,12,1,0,1,0
500,700,13,1,0,1,0
500,700,14,0,1,0,1
500,700,15,0,1,1,0
500,700,16,0,1,1,0
500,700,17,1,0,1,0
500,700,18,1,0,0,1
500,700,19,1,0,1,0
500,700,20,1,0,1,0
500,700,21,1,0,1,0
500,700,22,1,0,1,0
500,700,23,1,0,1,0
500,700,24,1,0,0,1
500,700,25,1,0,1,0
500,700,26,0,1,0,1
500,700,27,1,0,1,0
500,700,28,1,0,1,0
500,700,29,1,0,1,0
500,700,30,1,0,0,1
500,700,31,0,1,0,1
500,700,32,1,0,1,0
500,700,33,1,0,1,0
500,700,34,1,0,0,1
500,700,35,1,0,1,0
500,700,36,1,0,0,1
500,700,37,1,0,1,0
500,700,38,0,1,0,1
500,700,39,1,0,1,0
500,700,40,0,1,1,0
500,700,41,0,1,1,0
500,700,42,1,0,0,1
500,700,43,1,0,1,0
500,700,44,0,1,1,0
500,700,45,1,0,1,0
500,700,46,1,0,1,0
500,700,47,0,1,1,0
500,700,48,1,0,0,1
500,700,49,1,0,0,1
500,800,0,1,0,0,1
500,800,1,1,0,0,1
500,800,2,1,0,1,0
500,800,3,1,0,0,1
500,800,4,0,1,0,1
500,800,5,1,0,0,1
500,800,6,0,1,1,0
500,800,7,1,0,0,1
500,800,8,0,1,0,1
500,800,9,0,1,1,0
500,800,10,1,0,1,0
500,800,11,0,1,1,0
500,800,12,1,0,0,1
500,800,13,0,1,1,0
500,800,14,1,0,1,0
500,800,15,1,0,0,1
500,800,16,0,1,1,0
500,800,17,1,0,1,0
500,800,18,1,0,1,0
500,800,19,1,0,1,0
500,800,20,0,1,0,1
500,800,21,1,0,0,1
500,800,22,1,0,0,1
500,800,23,0,1,1,0
500,800,24,1,0,0,1
500,800,25,1,0,0,1
500,800,26,0,1,0,1
500,800,27,1,0,0,1
500,800,28,1,0,1,0
500,800,29,0,1,0,1
500,800,30,1,0,0,1
500,800,31,1,0,1,0
500,800,32,1,0,0,1
500,800,33,1,0,0,1
500,800,34,1,0,1,0
500,800,35,1,0,1,0
500,800,36,1,0,1,0
500,800,37,1,0,1,0
500,800,38,1,0,0,1
500,800,39,1,0,0,1
500,800,40,1,0,1,0
500,800,41,1,0,1,0
500,800,42,0,1,0,1
500,800,43,1,0,0,1
500,800,44,1,0,1,0
500,800,45,1,0,1,0
500,800,46,1,0,0,1
500,800,47,1,0,0,1
500,800,48,1,0,0,1
500,800,49,1,0,0,1
500,900,0,1,0,0,1
500,900,1,1,0,1,0
500,900,2,1,0,1,0
500,900,3,0,1,0,1
500,900,4,1,0,0,1
500,900,5,1,0,0,1
500,900,6,1,0,0,1
500,900,7,1,0,1,0
500,900,8,1,0,0,1
500,900,9,1,0,1,0
500,900,10,1,0,1,0
500,900,11,0,1,1,0
500,900,12,1,0,0,1
500,900,13,1,0,0,1
500,900,14,1,0,1,0
